ADMIN|FAIL|2016-03-01 17:26:21||BAD|192.168.1.70|Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36|
ADMIN|FAIL|2016-03-01 17:34:31||BAD|192.168.1.11|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:44.0) Gecko/20100101 Firefox/44.0|
ADMIN|FAIL|2016-10-12 18:39:26||BAD|192.168.1.12|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:43.0) Gecko/20100101 Firefox/43.0|
ADMIN|FAIL|2016-10-13 10:11:26||BAD|192.168.1.11|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:49.0) Gecko/20100101 Firefox/49.0|
ADMIN|FAIL|2016-10-13 10:11:27|6666|BAD|192.168.1.11|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:49.0) Gecko/20100101 Firefox/49.0|
ADMIN|FAIL|2016-10-13 10:11:29|6666|BAD|192.168.1.11|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:49.0) Gecko/20100101 Firefox/49.0|
ADMIN|FAIL|2016-10-13 10:11:30|6666|BAD|192.168.1.11|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:49.0) Gecko/20100101 Firefox/49.0|
ADMIN|FAIL|2016-10-14 15:18:21||BAD|192.168.1.11|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:49.0) Gecko/20100101 Firefox/49.0|
ADMIN|FAIL|2016-10-14 15:18:22|6666|BAD|192.168.1.11|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:49.0) Gecko/20100101 Firefox/49.0|
ADMIN|FAIL|2016-10-17 14:02:37||BAD|192.168.1.11|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:49.0) Gecko/20100101 Firefox/49.0|
ADMIN|FAIL|2016-10-17 14:02:38|6666|BAD|192.168.1.11|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:49.0) Gecko/20100101 Firefox/49.0|
ADMIN|FAIL|2016-10-17 14:02:42||BAD|192.168.1.11|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:49.0) Gecko/20100101 Firefox/49.0|
ADMIN|FAIL|2016-11-08 10:11:20||BAD|192.168.1.12|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:43.0) Gecko/20100101 Firefox/43.0|
