"Agent Performance Detail                        2022-11-25 20:56:48"
"Time range: 2022-11-25 00:00:00 to 2022-11-25 23:59:59"

"PAUSE CODE BREAKDOWN:"
"USER NAME","ID","CURRENT USER GROUP","MOST RECENT USER GROUP","TOTAL","NONPAUSE","PAUSE",
"","","TOTALS","AGENTS:0","0:00","0:00","0:00",
